Reference,Item number,Type,Word,COCA Count,COCA Total Count,COCA Frequency per 1000 words
Kieffer & Lesaux (2008),107,Target,teach,629,5536628,0.11360705469105022
Kieffer & Lesaux (2008),108,Input,activity,373,5536628,0.0673695252778406
Kieffer & Lesaux (2008),108,Target,active,252,5536628,0.04551506801612822
Kieffer & Lesaux (2008),109,Input,possession,53,5536628,0.009572613511328557
Kieffer & Lesaux (2008),109,Target,possess,40,5536628,0.007224613970814004
Kruk & Bergman (2013),110,Input,needed,1094,5536628,0.19759319210176302
Kruk & Bergman (2013),110,Target,need,4326,5536628,0.7813420009435346
Kruk & Bergman (2013),111,Input,owner,258,5536628,0.04659876011175033
Kruk & Bergman (2013),111,Target,own,3721,5536628,0.6720697146349728
Kruk & Bergman (2013),112,Input,decision,323,5536628,0.058338757814323086
Kruk & Bergman (2013),112,Target,decide,391,5536628,0.0706206015647069
Kruk & Bergman (2013),113,Input,flowers,497,5536628,0.08976582858736401
Kruk & Bergman (2013),113,Target,flower,287,5536628,0.051836605240590486
Kruk & Bergman (2013),114,Input,cutting,198,5536628,0.03576183915552932
Kruk & Bergman (2013),114,Target,cut,1448,5536628,0.2615310257434669
Kruk & Bergman (2013),115,Input,running,1210,5536628,0.21854457261712362
Kruk & Bergman (2013),115,Target,run,2132,5536628,0.38507192464438644
Kruk & Bergman (2013),116,Input,walked,1481,5536628,0.2674913322693885
Kruk & Bergman (2013),116,Target,walk,1315,5536628,0.2375091842905104
Kruk & Bergman (2013),117,Input,friends,2664,5536628,0.4811592904562127
Kruk & Bergman (2013),117,Target,friend,2595,5536628,0.46869683135655854
Kruk & Bergman (2013),118,Input,wanted,2483,5536628,0.4484679122382793
Kruk & Bergman (2013),118,Target,want,6012,5536628,1.085859479813345
Kruk & Bergman (2013),119,Input,glasses,335,5536628,0.06050614200556728
Kruk & Bergman (2013),119,Target,glass,622,5536628,0.11234274724615778
Kruk & Bergman (2013),120,Input,popularity,31,5536628,0.005599075827380853
Kruk & Bergman (2013),120,Target,popular,304,5536628,0.054907066178186435
Kruk & Bergman (2013),121,Input,dirty,251,5536628,0.04533445266685788
Kruk & Bergman (2013),121,Target,dirt,412,5536628,0.07441352389938426
Kruk & Bergman (2013),122,Input,reader,122,5536628,0.02203507261098271
Kruk & Bergman (2013),122,Target,read,2046,5536628,0.36953900460713635
Kruk & Bergman (2013),123,Input,babies,822,5536628,0.14846581710022777
Kruk & Bergman (2013),123,Target,baby,3258,5536628,0.5884448079228006
Kruk & Bergman (2013),124,Input,books,1135,5536628,0.20499842142184738
Kruk & Bergman (2013),124,Target,book,1736,5536628,0.3135482463333278
Kruk & Bergman (2013),125,Input,acceptance,40,5536628,0.007224613970814004
Kruk & Bergman (2013),125,Target,accept,254,5536628,0.045876298714668924
Kruk & Bergman (2013),126,Input,growth,192,5536628,0.034678147059907224
Kruk & Bergman (2013),126,Target,grow,775,5536628,0.13997689568452132
Kruk & Bergman (2013),127,Input,dryer,63,5536628,0.011378767004032056
Kruk & Bergman (2013),127,Target,dry,781,5536628,0.14106058778014344
Kruk & Bergman (2013),128,Input,density,16,5536628,0.0028898455883256016
Kruk & Bergman (2013),128,Target,dense,48,5536628,0.008669536764976806
Kruk & Bergman (2013),129,Input,agreement,86,5536628,0.01553292003725011
Kruk & Bergman (2013),129,Target,agree,283,5536628,0.05111414384350908
Kruk & Bergman (2013),130,Input,believe,1750,5536628,0.31607686122311274
Kruk & Bergman (2013),130,Target,belief,65,5536628,0.011739997702572757
Kruk & Bergman (2013),131,Input,carried,475,5536628,0.0857922909034163
Kruk & Bergman (2013),131,Target,carry,575,5536628,0.10385382583045132
Kruk & Bergman (2013),132,Input,strength,439,5536628,0.0792901383296837
Kruk & Bergman (2013),132,Target,strong,922,5536628,0.16652735202726282
Kruk & Bergman (2013),133,Input,fifth,255,5536628,0.04605691406393928
Kruk & Bergman (2013),133,Target,five,1920,5536628,0.34678147059907216
Kruk & Bergman (2013),134,Input,leaves,829,5536628,0.14973012454512025
Kruk & Bergman (2013),134,Target,leaf,131,5536628,0.023660610754415865
Kruk & Bergman (2013),135,Input,discussion,131,5536628,0.023660610754415865
Kruk & Bergman (2013),135,Target,discuss,197,5536628,0.03558122380625897
Kruk & Bergman (2013),136,Input,description,78,5536628,0.014087997243087309
Kruk & Bergman (2013),136,Target,describe,137,5536628,0.024744302850037963
Kruk & Bergman (2013),137,Input,enter,316,5536628,0.05707445036943064
Kruk & Bergman (2013),137,Target,entered,340,5536628,0.06140921875191904
Kruk & Bergman (2013),138,Input,sing,380,5536628,0.06863383272273305
Kruk & Bergman (2013),138,Target,singer,73,5536628,0.013184920496735558
Kruk & Bergman (2013),139,Input,try,2500,5536628,0.45153837317587525
Kruk & Bergman (2013),139,Target,tried,1730,5536628,0.3124645542377057
Kruk & Bergman (2013),140,Input,tree,1411,5536628,0.254848257820464
Kruk & Bergman (2013),140,Target,trees,868,5536628,0.1567741231666639
Kruk & Bergman (2013),141,Input,stop,2323,5536628,0.41956945635502335
Kruk & Bergman (2013),141,Target,stopped,1316,5536628,0.23768979963978074
Kruk & Bergman (2013),142,Input,egg,326,5536628,0.05888060386213414
Kruk & Bergman (2013),142,Target,eggs,545,5536628,0.09843536535234082
Kruk & Bergman (2013),143,Input,perform,159,5536628,0.028717840533985666
Kruk & Bergman (2013),143,Target,performance,160,5536628,0.028898455883256017
Kruk & Bergman (2013),144,Input,sun,1249,5536628,0.2255885712386673
Kruk & Bergman (2013),144,Target,sunny,147,5536628,0.026550456342741467
Kruk & Bergman (2013),145,Input,car,1972,5536628,0.35617346876113043
Kruk & Bergman (2013),145,Target,cars,406,5536628,0.07332983180376214
Kruk & Bergman (2013),146,Input,ask,1962,5536628,0.35436731526842696
Kruk & Bergman (2013),146,Target,asked,4658,5536628,0.8413062969012908
Kruk & Bergman (2013),147,Input,warm,1030,5536628,0.18603380974846062
Kruk & Bergman (2013),147,Target,warmth,125,5536628,0.022576918658793764
Kruk & Bergman (2013),148,Input,fish,1246,5536628,0.22504672519085625
Kruk & Bergman (2013),148,Target,fishing,576,5536628,0.10403444117972166
Kruk & Bergman (2013),149,Input,wish,888,5536628,0.1603864301520709
Kruk & Bergman (2013),149,Target,wishes,141,5536628,0.025466764247119366
Kruk & Bergman (2013),150,Input,come,6726,5536628,1.2148188391923749
Kruk & Bergman (2013),150,Target,coming,1620,5536628,0.2925968658179672
Kruk & Bergman (2013),151,Input,assist,74,5536628,0.013365535846005907
Kruk & Bergman (2013),151,Target,assistance,180,5536628,0.03251076286866302
Kruk & Bergman (2013),152,Input,human,735,5536628,0.13275228171370732
Kruk & Bergman (2013),152,Target,humanity,16,5536628,0.0028898455883256016
Kruk & Bergman (2013),153,Input,teach,629,5536628,0.11360705469105022
Kruk & Bergman (2013),153,Target,teacher,1116,5536628,0.20156672978571072
Kruk & Bergman (2013),154,Input,profit,55,5536628,0.009933844209869256
Kruk & Bergman (2013),154,Target,profitable,12,5536628,0.0021673841912442015
Kruk & Bergman (2013),155,Input,appear,282,5536628,0.05093352849423873
Kruk & Bergman (2013),155,Target,appearance,129,5536628,0.023299380055875164
Kruk & Bergman (2013),156,Input,body,1936,5536628,0.3496713161873978
Kruk & Bergman (2013),156,Target,bodies,244,5536628,0.04407014522196542
Kruk & Bergman (2013),157,Input,deep,1344,5536628,0.24274702941935056
Kruk & Bergman (2013),157,Target,depth,44,5536628,0.007947075367895405
Kruk & Bergman (2013),158,Input,life,4213,5536628,0.760932466475985
Kruk & Bergman (2013),158,Target,live,1532,5536628,0.2767027150821764
Kruk & Bergman (2013),159,Input,dead,1154,5536628,0.208430113057984
Kruk & Bergman (2013),159,Target,death,882,5536628,0.1593027380564488
Kruk & Bergman (2013),160,Input,permit,46,5536628,0.008308306066436105
