Reference,Item number,Type,Word,CHILDES Count,CHILDES Total Count,CHILDES Frequency per 1000 words
James et al. (2021),130,Foil,signage,0,3826525,0
James et al. (2021),130,Foil,signity,0,3826525,0
James et al. (2021),130,Foil,signed,12,3826525,0.003136004599
James et al. (2021),131,Target,angel,81,3826525,0.02116803105
James et al. (2021),131,Foil,angelic,1,3826525,0.0002613337166
James et al. (2021),131,Foil,angelant,0,3826525,0
James et al. (2021),131,Foil,angels,27,3826525,0.007056010349
Nagy et al. (2006),41,Target,directions,52,3826525,0.01358935326
Nagy et al. (2006),41,Foil,directs,0,3826525,0
Nagy et al. (2006),41,Foil,directing,1,3826525,0.0002613337166
Nagy et al. (2006),41,Foil,directed,5,3826525,0.001306668583
Nagy et al. (2006),42,Target,loveliest,0,3826525,0
Nagy et al. (2006),42,Foil,loving,12,3826525,0.003136004599
Nagy et al. (2006),42,Foil,lovingly,0,3826525,0
Nagy et al. (2006),42,Foil,loveliness,0,3826525,0
Nagy et al. (2006),43,Target,announcement,7,3826525,0.001829336016
Nagy et al. (2006),43,Foil,announce,3,3826525,0.0007840011499
Nagy et al. (2006),43,Foil,announcing,3,3826525,0.0007840011499
Nagy et al. (2006),43,Foil,announced,7,3826525,0.001829336016
Nagy et al. (2006),44,Target,quickness,0,3826525,0
Nagy et al. (2006),44,Foil,quicker,9,3826525,0.00235200345
Nagy et al. (2006),44,Foil,quickly,137,3826525,0.03580271918
Nagy et al. (2006),44,Foil,quickest,2,3826525,0.0005226674332
Nagy et al. (2006),45,Target,creation,4,3826525,0.001045334866
Nagy et al. (2006),45,Foil,creative,7,3826525,0.001829336016
Nagy et al. (2006),45,Foil,creator,0,3826525,0
Nagy et al. (2006),45,Foil,creates,0,3826525,0
