Reference,Item number,Type,Word,Books Count,Books Total Count,Books Frequency per 1000 words,COCA Count,COCA Total Count,COCA Frequency per 1000 words,Movies Count,Movies Total Count,Movies Frequency per 1000 words,CHILDES Count,CHILDES Total Count,CHILDES Frequency per 1000 words,Average Frequency per 1000 Words
Carlisle (2000),52,Input,glory,9,199877,0.0450276920305988,107,5536628,0.0193258423719274,2,66112,0.0302516940948693,12,3826525,0.003136004599,0.024435308274098875
Carlisle (2000),52,Target,glorious,2,199877,0.0100061537845775,68,5536628,0.0122818437503838,1,66112,0.0151258470474346,4,3826525,0.001045334866,0.009614794862098975
Carlisle (2000),53,Input,driver,37,199877,0.185113845014684,381,5536628,0.0688144480720033,2,66112,0.0302516940948693,206,3826525,0.05383474562,0.08450368320038915
Carlisle (2000),53,Target,drive,27,199877,0.1350830760917964,686,5536628,0.1239021295994601,13,66112,0.1966360116166505,477,3826525,0.1246561828,0.14506935002697674
Carlisle (2000),54,Input,improvement,1,199877,0.0050030768922887,67,5536628,0.0121012284011134,1,66112,0.0151258470474346,3,3826525,0.0007840011499,0.008253538372684176
Carlisle (2000),54,Target,improve,0,199877,0.0,204,5536628,0.0368455312511514,0,66112,0.0,0,3826525,0.0,0.00921138281278785
Carlisle (2000),55,Input,growth,0,199877,0.0,192,5536628,0.0346781470599072,2,66112,0.0302516940948693,3,3826525,0.0007840011499,0.016428460576169125
Carlisle (2000),55,Target,grow,41,199877,0.205126152583839,775,5536628,0.1399768956845213,2,66112,0.0302516940948693,331,3826525,0.0865014602,0.11546405064080739
Carlisle (2000),56,Input,dryer,0,199877,0.0,63,5536628,0.011378767004032,0,66112,0.0,50,3826525,0.01306668583,0.006111363208508001
Carlisle (2000),56,Target,dry,19,199877,0.0950584609534864,781,5536628,0.1410605877801434,5,66112,0.0756292352371732,446,3826525,0.1165548376,0.10707578039270076
Carlisle (2000),57,Input,variable,0,199877,0.0,7,5536628,0.0012643074448924,0,66112,0.0,0,3826525,0.0,0.0003160768612231
Carlisle (2000),57,Target,vary,0,199877,0.0,93,5536628,0.0167972274821425,0,66112,0.0,0,3826525,0.0,0.004199306870535625
Carlisle (2000),58,Input,width,0,199877,0.0,26,5536628,0.0046959990810291,0,66112,0.0,0,3826525,0.0,0.001173999770257275
